census_cbsa_geoid,census_cbsa_name
11460,"Ann Arbor, MI"
11540,"Appleton, WI"
12060,"Atlanta-Sandy Springs-Alpharetta, GA"
12260,"Augusta-Richmond County, GA-SC"
12420,"Austin-Round Rock-Georgetown, TX"
12580,"Baltimore-Columbia-Towson, MD"
13020,"Bay City, MI"
13060,"Bay City, TX"
13140,"Beaumont-Port Arthur, TX"
13820,"Birmingham-Hoover, AL"
14260,"Boise City, ID"
14460,"Boston-Cambridge-Newton, MA-NH"
14780,"Brenham, TX"
15380,"Buffalo-Cheektowaga, NY"
15980,"Cape Coral-Fort Myers, FL"
16620,"Charleston, WV"
16700,"Charleston-North Charleston, SC"
16740,"Charlotte-Concord-Gastonia, NC-SC"
16860,"Chattanooga, TN-GA"
16980,"Chicago-Naperville-Elgin, IL-IN-WI"
17140,"Cincinnati, OH-KY-IN"
17460,"Cleveland-Elyria, OH"
17820,"Colorado Springs, CO"
17900,"Columbia, SC"
18140,"Columbus, OH"
18880,"Crestview-Fort Walton Beach-Destin, FL"
19100,"Dallas-Fort Worth-Arlington, TX"
19660,"Deltona-Daytona Beach-Ormond Beach, FL"
19740,"Denver-Aurora-Lakewood, CO"
19780,"Des Moines-West Des Moines, IA"
19820,"Detroit-Warren-Dearborn, MI"
20900,"El Campo, TX"
24340,"Grand Rapids-Kentwood, MI"
24540,"Greeley, CO"
24660,"Greensboro-High Point, NC"
24860,"Greenville-Anderson, SC"
25540,"Hartford-East Hartford-Middletown, CT"
26420,"Houston-The Woodlands-Sugar Land, TX"
26620,"Huntsville, AL"
26900,"Indianapolis-Carmel-Anderson, IN"
27140,"Jackson, MS"
27260,"Jacksonville, FL"
28140,"Kansas City, MO-KS"
28940,"Knoxville, TN"
29460,"Lakeland-Winter Haven, FL"
29820,"Las Vegas-Henderson-Paradise, NV"
30460,"Lexington-Fayette, KY"
31080,"Los Angeles-Long Beach-Anaheim, CA"
31140,"Louisville/Jefferson County, KY-IN"
31860,"Mankato, MN"
32820,"Memphis, TN-MS-AR"
33100,"Miami-Fort Lauderdale-Pompano Beach, FL"
33340,"Milwaukee-Waukesha, WI"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
33860,"Montgomery, AL"
34940,"Naples-Marco Island, FL"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN"
35380,"New Orleans-Metairie, LA"
35620,"New York-Newark-Jersey City, NY-NJ-PA"
35840,"North Port-Sarasota-Bradenton, FL"
36100,"Ocala, FL"
36420,"Oklahoma City, OK"
36540,"Omaha-Council Bluffs, NE-IA"
36740,"Orlando-Kissimmee-Sanford, FL"
36780,"Oshkosh-Neenah, WI"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
38060,"Phoenix-Mesa-Chandler, AZ"
38300,"Pittsburgh, PA"
38940,"Port St. Lucie, FL"
38900,"Portland-Vancouver-Hillsboro, OR-WA"
39300,"Providence-Warwick, RI-MA"
39580,"Raleigh-Cary, NC"
40060,"Richmond, VA"
40140,"Riverside-San Bernardino-Ontario, CA"
40340,"Rochester, MN"
40900,"Sacramento-Roseville-Folsom, CA"
41620,"Salt Lake City, UT"
41700,"San Antonio-New Braunfels, TX"
41740,"San Diego-Chula Vista-Carlsbad, CA"
41860,"San Francisco-Oakland-Berkeley, CA"
41940,"San Jose-Sunnyvale-Santa Clara, CA"
42340,"Savannah, GA"
42660,"Seattle-Tacoma-Bellevue, WA"
41060,"St. Cloud, MN"
41140,"St. Joseph, MO-KS"
41180,"St. Louis, MO-IL"
45220,"Tallahassee, FL"
45300,"Tampa-St. Petersburg-Clearwater, FL"
45540,"The Villages, FL"
46060,"Tucson, AZ"
47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
49180,"Winston-Salem, NC"